,P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. Teq Mean (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),P. Omega (deg),S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. ESI,S. HabCat,P. Habitable,P. Confirmed
2942,5.68,1.71,1.13,1.93,1.82,1409.6,6.4,-25.81,3.26,1.0,0.0181,0.0,0.02,0.0,0.79,0.75,4971.0,0.308168,19.8868,47.694,-34.2,22.1775,1.0,0.0,0.435,1.054,-2.35,-0.15,-0.79,0.29,0.27,0.0,0.0,1.0
2943,26.81,2.5,1.72,4.3,3.28,394.2,46.1,-21.08,4.75,55.82,0.2728,0.0,0.27,0.0,0.87,0.82,5157.0,0.426684,19.1532,47.4554,-28.6,1.6018,1.0,0.0,0.508,1.22,-1.66,-0.11,1.46,0.31,0.42,0.0,0.0,1.0
2944,0.71,0.94,0.85,0.8,0.87,1142.2,0.6,-23.59,1.79,6.11,0.0703,0.0,0.07,0.0,1.24,1.23,6191.0,1.994083,19.6608,46.4915,-33.3,9.3403,1.0,0.0,1.033,2.412,-2.4,-0.18,-1.23,0.27,0.3,0.0,0.0,1.0
2945,22.64,2.41,1.62,3.9,3.07,671.3,36.7,-23.32,4.58,9.99,0.0843,0.0,0.08,0.0,0.8,0.76,5069.0,0.342142,19.4779,43.7797,-31.0,4.8087,1.0,0.0,0.457,1.101,-2.16,-0.12,0.56,0.31,0.26,0.0,0.0,1.0
2946,3.15,2.55,0.19,0.48,1.11,2542.7,0.6,-29.26,4.85,1.44,0.0291,0.0,0.03,0.0,1.58,1.95,7044.0,8.399171,19.6639,38.5916,-36.8,36.3217,1.0,0.0,2.023,4.668,-2.51,2.41,-1.3,0.21,0.23,0.0,0.0,1.0
2947,6.39,3.19,0.2,0.63,1.42,565.6,1.3,-23.19,6.07,26.02,0.1671,0.0,0.17,0.0,0.92,0.89,5558.0,0.678179,19.365,37.7666,-30.2,2.8386,1.0,0.0,0.626,1.484,-2.07,2.61,-0.58,0.23,0.25,0.0,0.0,1.0
2948,0.58,0.88,0.84,0.74,0.81,1677.4,0.5,-25.13,1.68,0.77,0.0156,0.0,0.02,0.0,0.86,0.82,5252.0,0.459004,19.5421,45.6635,-35.0,28.2443,1.0,0.0,0.524,1.255,-2.39,-0.18,-1.35,0.27,0.29,0.0,0.0,1.0
2949,4.31,1.59,1.07,1.7,1.65,996.2,4.6,-24.14,3.02,6.89,0.0718,0.0,0.07,0.0,1.04,1.04,5936.0,1.204847,18.7888,42.2989,-32.7,7.7255,1.0,0.0,0.816,1.915,-2.35,-0.15,-0.72,0.29,0.28,0.0,0.0,1.0
2950,5.22,2.99,0.2,0.58,1.32,482.8,1.0,-22.35,5.69,37.95,0.2133,0.0,0.21,0.0,0.9,0.86,5453.0,0.586717,19.2762,46.8129,-29.5,2.1486,1.0,0.0,0.586,1.394,-1.92,2.54,-0.57,0.24,0.3,0.0,0.0,1.0
2951,24.64,2.45,1.67,4.09,3.17,642.4,41.1,-23.17,4.66,24.17,0.1641,0.0,0.16,0.0,1.01,1.02,5844.0,1.088757,19.8613,45.2742,-30.8,3.3124,1.0,0.0,0.78,1.834,-2.17,-0.11,0.69,0.31,0.26,0.0,0.0,1.0
